YEAR,Month,POOL,ATYACPUE,XIPHCPUE,MACCPUE
1988,3,8,22.50,18.50,0.50
1988,5,8,22.00,21.70,0.00
1988,7,8,27.30,14.00,0.30
1988,9,8,17.00,7.50,0.00
1988,11,8,11.30,18.70,0.00
1989,1,8,11.70,5.30,0.00
1989,3,8,14.70,5.00,0.30
1989,6,8,13.30,7.00,0.00
1989,8,8,11.30,1.30,0.00
1989,10,8,19.70,14.30,0.00
1989,12,8,6.00,7.00,0.00
1990,1,8,25.70,25.30,0.00
1990,2,8,10.30,7.80,0.30
1990,5,8,9.80,9.00,0.00
1990,7,8,18.30,5.50,0.00
1991,1,8,25.30,24.70,0.00
1991,3,8,40.70,21.70,0.30
1991,6,8,33.00,22.00,0.30
1991,8,8,66.50,54.50,0.00
1991,9,8,45.30,51.30,0.00
1991,10,8,29.00,37.30,0.00
1992,1,8,21.70,18.00,0.30
1992,3,8,36.30,29.70,0.70
1992,5,8,25.30,13.00,0.70
1992,7,8,31.30,5.00,0.00
1992,11,8,22.70,19.00,0.00
1993,2,8,29.30,36.30,0.00
1993,6,8,40.70,27.00,0.00
1993,8,8,42.30,30.30,0.00
1993,10,8,30.70,13.00,0.00
1994,1,8,22.30,16.30,0.30
1994,3,8,23.30,19.00,1.00
1994,6,8,53.00,22.30,0.30
1994,8,8,58.70,24.30,0.00
1994,9,8,49.30,36.70,0.30
1994,11,8,24.30,32.70,0.00
1995,3,8,29.30,19.80,0.00
1995,5,8,27.00,33.70,0.30
1995,7,8,20.00,8.70,0.30
1995,9,8,32.30,32.70,0.30
1995,12,8,32.00,7.70,0.70
1996,2,8,9.30,5.30,0.00
1996,3,8,39.30,15.00,1.00
1996,5,8,21.30,8.70,0.30
1996,6,8,25.00,9.70,1.70
1996,9,8,18.70,12.00,0.30
1996,11,8,19.30,12.30,0.30
1997,1,8,8.00,4.00,0.70
1997,3,8,12.70,5.30,1.30
1997,6,8,37.30,16.00,0.70
1997,7,8,44.30,16.00,0.30
1997,9,8,16.70,2.30,0.30
1997,12,8,31.70,11.00,1.30
1998,1,8,33.30,10.30,0.70
1998,3,8,28.70,19.30,0.00
1998,6,8,26.30,13.30,0.00
1998,10,8,29.00,22.30,0.00
1998,11,8,22.30,16.00,0.00
1999,1,8,15.00,16.70,0.00
1999,3,8,19.70,5.00,0.00
1999,6,8,44.70,37.70,0.30
1999,7,8,36.70,42.30,0.00
1999,10,8,36.00,29.70,0.00
2000,1,8,19.70,11.70,0.00
2000,7,8,25.70,23.70,0.70
2000,9,8,24.70,22.00,0.70
2001,1,8,127.00,58.70,0.00
2001,11,8,102.70,40.70,0.00
2002,2,8,27.70,3.00,0.00
2002,10,8,18.30,13.00,0.00
2003,2,8,3.70,6.70,0.00
2003,11,8,15.70,9.70,0.00
2004,2,8,17.30,11.30,0.00
2004,11,8,6.30,9.00,0.00
2005,2,8,5.30,6.00,0.00
2005,7,8,6.20,2.80,0.00
2005,11,8,11.30,7.70,0.30
2006,3,8,18.30,18.70,0.00
2006,11,8,23.30,6.00,0.00
2007,2,8,14.00,6.30,0.30
2007,7,8,25.00,27.70,0.00
2007,11,8,29.30,31.70,0.00
2008,3,8,19.30,21.30,0.00
2008,7,8,61.30,41.00,0.00
2008,11,8,21.00,2.70,0.00
2009,3,8,80.00,57.30,0.00
2009,7,8,20.70,8.00,0.70
2009,11,8,33.00,16.70,0.00
2010,3,8,32.70,15.00,0.00
2010,7,8,40.30,24.00,0.30
2010,11,8,31.00,12.30,0.30
2011,3,8,28.00,31.70,0.30
2011,7,8,24.00,66.00,0.00
2011,11,8,40.70,29.00,0.00
2012,3,8,29.33,26.00,0.00
2012,8,8,41.33,40.33,0.00
2012,11,8,18.67,21.67,0.00
2013,3,8,25.00,16.33,0.00
2013,8,8,15.00,31.00,0.33
2013,11,8,50.67,52.67,0.00
2014,3,8,35.67,36.00,0.00
2014,7,8,40.00,58.00,0.00
2014,12,8,28.33,54.67,0.33
2015,2,8,20.67,21.00,0.00
2015,7,8,53.67,83.00,0.33
2015,11,8,48.67,41.33,0.00
2016,2,8,46.33,60.33,0.00
2016,7,8,37.33,76.33,0.00
2016,11,8,41.00,57.67,0.33
