YEAR,Month,POOL,ATYACPUE,XIPHCPUE,MACCPUE
1988,1,0,8.00,8.25,0.31
1988,3,0,43.50,33.70,1.00
1988,5,0,53.00,35.80,1.40
1988,6,0,61.70,28.60,0.40
1988,7,0,54.70,30.00,1.10
1988,9,0,43.50,35.10,0.00
1988,11,0,30.60,35.80,0.40
1989,1,0,48.40,14.20,0.40
1989,3,0,31.00,6.40,0.30
1989,5,0,51.60,0.80,0.00
1989,8,0,27.20,21.20,0.70
1989,10,0,22.30,7.60,0.10
1989,12,0,43.20,37.80,0.30
1990,1,0,31.95,18.50,0.15
1990,2,0,13.55,12.90,0.30
1990,3,0,45.50,37.10,0.30
1990,5,0,27.55,20.50,0.50
1990,7,0,56.70,39.60,1.20
1990,9,0,72.33,56.00,0.33
1990,10,0,60.40,33.20,0.40
1991,1,0,41.63,21.56,0.19
1991,3,0,52.44,23.56,0.69
1991,5,0,49.38,31.88,0.31
1991,7,0,74.63,33.75,0.69
1991,8,0,78.63,25.31,0.63
1991,9,0,59.44,18.38,0.88
1991,10,0,67.38,49.25,0.56
1992,1,0,52.31,29.56,0.69
1992,3,0,45.38,15.38,0.25
1992,5,0,36.94,10.63,0.63
1992,7,0,58.20,11.20,0.70
1992,11,0,36.56,6.19,0.00
1993,2,0,36.81,23.75,0.19
1993,6,0,59.31,22.88,0.31
1993,8,0,69.30,53.00,0.30
1993,10,0,43.56,13.88,0.19
1994,1,0,40.44,31.25,0.19
1994,3,0,43.88,17.94,0.00
1994,6,0,56.00,12.06,0.38
1994,8,0,72.44,16.63,0.25
1994,9,0,58.38,26.63,0.25
1994,11,0,62.50,26.81,0.06
1995,3,0,42.06,14.81,0.63
1995,5,0,44.50,2.94,1.50
1995,7,0,38.69,4.56,0.81
1995,9,0,35.60,20.80,0.40
1995,12,0,41.88,5.13,0.56
1996,2,0,15.06,5.85,0.44
1996,3,0,27.03,14.88,0.44
1996,5,0,21.91,5.18,0.53
1996,6,0,22.82,5.62,0.32
1996,9,0,28.35,17.15,0.47
1996,11,0,24.91,7.00,0.32
1997,1,0,13.71,4.71,0.21
1997,3,0,20.21,3.85,0.15
1997,6,0,32.18,5.29,0.41
1997,7,0,38.32,13.41,1.12
1997,9,0,27.94,12.79,0.41
1997,12,0,28.38,7.71,0.68
1998,1,0,29.85,4.53,0.71
1998,3,0,25.03,8.82,0.91
1998,6,0,33.65,7.15,0.62
1998,7,0,32.68,13.62,0.50
1998,9,0,31.76,14.00,0.15
1998,11,0,26.76,15.53,0.09
1999,1,0,29.97,12.44,0.21
1999,3,0,27.79,10.48,0.30
1999,6,0,37.41,22.18,0.47
1999,7,0,28.88,25.85,0.56
1999,10,0,28.97,20.56,0.32
2000,1,0,19.56,11.41,0.29
2000,3,0,25.47,13.88,0.12
2000,7,0,27.94,23.21,0.44
2000,9,0,31.03,17.24,0.18
2001,1,0,66.79,17.44,0.15
2001,11,0,38.41,20.12,0.06
2002,2,0,25.41,13.76,0.15
2002,10,0,27.76,20.50,0.09
2003,2,0,23.63,12.56,0.09
2003,11,0,23.68,24.68,0.12
2004,2,0,30.44,26.59,0.29
2004,11,0,20.09,24.38,0.12
2005,1,0,17.38,19.85,0.00
2005,7,0,22.35,23.41,0.09
2005,11,0,20.71,26.21,0.09
2006,3,0,17.97,22.32,0.09
2006,11,0,29.06,30.18,0.06
2007,2,0,32.22,24.80,0.11
2007,7,0,39.38,37.76,0.21
2007,11,0,19.82,28.18,0.00
2008,3,0,16.06,34.32,0.09
2008,7,0,29.09,40.68,0.09
2008,11,0,30.65,29.70,0.12
2009,3,0,21.35,20.03,0.15
2009,7,0,31.21,26.03,0.41
2009,11,0,26.47,29.91,0.06
2010,3,0,22.65,15.56,0.12
2010,7,0,26.76,28.03,0.15
2010,11,0,24.91,24.44,0.12
2011,3,0,25.35,30.35,0.15
2011,7,0,27.71,43.85,0.06
2011,11,0,24.94,41.38,0.06
2012,3,0,19.94,7.24,0.06
2012,8,0,32.85,29.35,0.09
2012,11,0,21.76,31.68,0.03
2013,3,0,26.12,14.71,0.06
2013,8,0,22.18,22.74,0.09
2013,11,0,25.79,28.82,0.03
2014,3,0,27.56,23.82,0.03
2014,7,0,31.59,49.15,0.00
2014,12,0,19.35,43.26,0.15
2014,3,0,27.56,23.82,0.03
2014,7,0,31.59,49.15,0.00
2014,12,0,19.35,43.26,0.15
2015,2,0,19.65,30.21,0.21
2015,7,0,26.62,33.79,0.12
2015,11,0,17.85,15.21,0.06
2016,2,0,38.03,48.74,0.35
2016,7,0,19.74,30.18,0.06
2016,11,0,20.68,25.74,0.09
